timestamp_us,lin_m,lin_b
1777478675228462,106579.95546080326,-2950.4943987558145
1777478675238462,90866.6354958433,-2334.4757088997494
1777478675248456,67456.01883194181,-1716.2824553564712
1777478675258461,55705.200133153136,-1191.9463762443268
1777478675268462,39782.77767618615,-720.1734717789927
1777478675278461,25394.27277206876,-220.14030322909997
1777478675288462,20383.67340766969,20.60030021742565
1777478675298462,6857.428126595687,438.6779110073619
1777478675308462,-2152.0757096610278,769.5606815519171
1777478675318452,-6010.12590354252,901.2123568031611
1777478675328451,-13734.192604809223,949.3622119553737
1777478675338419,-12221.68492657274,897.9714156011023
1777478675348453,-5669.240838209218,934.2589845811079
1777478675358455,-10847.805849561251,1215.2194646776327
1777478675368456,-8543.121238478765,1088.7063814743778
1777478675378462,-7942.00461498092,919.9171611972199
1777478675388462,-495.47956908741463,627.4437352023233
1777478675398450,8927.083010735645,289.4343340998876
1777478675408455,17558.816317127705,-96.01566998928296
1777478675418459,32532.321159039777,-588.6171205127937
1777478675428456,40683.023720348065,-1031.5730787077362
1777478675438459,53495.60140717128,-1448.1002476993478
1777478675448462,61669.54256200442,-1862.3126230242042
1777478675458460,81968.30932259485,-2394.1673589834063
1777478675468462,100087.51853476671,-2883.6109101287916
1777478675478462,120904.92832006686,-3417.1799679134674
1777478675488459,122899.52405322753,-3870.855390820656
1777478675498461,129209.23310586528,-4292.951937733951
1777478675508462,155897.50054139958,-4800.731087573959
1777478675518454,147071.3420706687,-5246.83743991459
1777478675528460,182263.61195473248,-5616.143315973293
1777478675538462,191971.1300890302,-5873.185432259824
1777478675548446,175008.34594579772,-6201.092656632868
1777478675558461,213567.31636691364,-6574.168951099759
1777478675568461,229387.26542117746,-7007.562841759022
1777478675578461,217128.84917620354,-7466.656553284666
1777478675588462,260701.17398244323,-7887.5892944009665
1777478675598461,245199.56618713154,-8237.681231298791
1777478675608459,254154.90589447046,-8576.471772771618
1777478675618462,304594.7441915557,-8851.506271631875
1777478675628459,287366.76453592716,-9147.600314525389
1777478675638449,288156.91797527,-9374.863162221405
1777478675648447,322159.9667726574,-9531.3318896933
1777478675658460,315922.9806626414,-9785.819019136612
1777478675668462,306259.2080300175,-10088.811817806976
1777478675678462,307959.5926177359,-10428.929708754124
1777478675688462,340370.2493394005,-10684.207551862704
1777478675698461,345411.4298401245,-10986.80804086219
1777478675708457,335484.40879982285,-11250.50127904189
1777478675718445,357289.27841485495,-11505.495519173537
1777478675728459,333014.1340708497,-11819.562529402005
1777478675738460,337337.10618917603,-12027.320943080815
1777478675748458,359710.5107330141,-12207.402105891191
1777478675758459,356530.3566568877,-12449.12324618155
1777478675768457,317379.37837472785,-12768.734893871851
1777478675778432,426673.5186632104,-12833.872342133498
1777478675788460,286958.72117788595,-12933.099292693252
1777478675798461,369452.73122138844,-12735.623830236744
1777478675808456,400254.58203350933,-12680.374339867802
1777478675818368,418142.1446995381,-12685.771423664639
1777478675828439,470727.8544159672,-12654.391080422942
1777478675838446,546163.1265184198,-12594.898023411488
1777478675848461,616837.4231971173,-12478.727868078457
1777478675858461,340416.6682296958,-12363.091269838156
1777478675868457,377865.3812504392,-12110.25116611063
1777478675878460,373565.9640103851,-11797.523372672553
1777478675888462,353175.4945495566,-11552.864696174924
1777478675898459,349032.70786341757,-11167.108135240727
1777478675908461,312654.2424774723,-10869.026404445869
1777478675918462,331895.12639181904,-10469.624404497197
1777478675928460,320448.5588649395,-10053.59307371209
1777478675938462,298197.03310239274,-9545.109502667372
1777478675948462,265416.65721142996,-9039.934226096695
1777478675958461,257827.0199051933,-8368.217169314137
1777478675968462,240454.2540444338,-7779.432816251614
1777478675978461,228206.47802771843,-7097.619054193388
1777478675988460,211190.4418258025,-6523.009677579681
1777478675998462,181847.93437093557,-5961.7734581383775
1777478676008455,199889.8220012108,-5514.728290266893
1777478676018461,146339.84526000786,-4982.943912357462
1777478676028456,152735.63743901197,-4587.88783173114
1777478676038460,153117.6930349519,-4267.225376518472
1777478676048457,115770.75742505273,-3820.514072512208
1777478676058456,120808.13977053383,-3453.151225709396
1777478676068457,107626.44301511523,-3085.4049231513304
1777478676078456,105935.0851014837,-2823.6876226041163
1777478676088459,88896.82634210734,-2506.3195174102525
1777478676098440,85526.1684829818,-2312.6682656217517
1777478676108447,83237.45587427245,-2151.229342104158
1777478676118459,67835.48286469538,-1898.8161515882275
1777478676128460,68394.01948670782,-1725.47609722818
1777478676138462,61747.774681468145,-1534.076303311517
1777478676148458,61534.60508655322,-1440.6750072246052
1777478676158458,56614.184704070445,-1306.8012649731675
1777478676168437,42599.09607380083,-1089.829298059978
1777478676178453,49305.71848018712,-1055.569278810658
1777478676188461,47085.614158319804,-1059.7043817663532
1777478676198456,40540.81854713356,-1013.1876526527041
1777478676208462,35665.03491195969,-945.7731514537325
1777478676218460,50183.16407270913,-1143.8343276596518
1777478676228459,51869.18107677816,-1253.6312210032181
1777478676238440,59514.989132010014,-1471.5592239468297
1777478676248461,57102.82671258343,-1739.3511524645455
1777478676258462,71004.66624070058,-2137.430903604748
1777478676268455,74684.4969623078,-2495.964118686772
1777478676278462,102135.05754514069,-2887.0893395285266
1777478676288458,103080.32648860272,-3145.261705213199
1777478676298460,109127.16005222753,-3395.2142594115626
1777478676308458,118518.66718240101,-3769.233132655287
1777478676318461,131559.13602593192,-4265.9953210028
1777478676328457,154764.33710804264,-4789.711580258377
1777478676338458,152755.16222832486,-5368.308171500721
1777478676348457,176053.5105818196,-5861.783458525915
1777478676358446,173989.86619101156,-6288.0310664211875
1777478676368456,222999.18004678443,-6595.564681976469
1777478676378462,217204.3463287685,-6849.647754441155
1777478676388450,210852.75274731044,-7102.964668528749
1777478676398460,223294.26464691263,-7401.16963602911
1777478676408461,228181.71830941693,-7704.8205346782925
1777478676418461,253702.41712116892,-8008.335654805403
1777478676428454,266581.2569949082,-8300.207481096855
1777478676438460,270014.98109650187,-8550.117467628272
1777478676448448,262426.34171077295,-8745.882343188796
1777478676458462,253489.33803363494,-8921.088041493242
1777478676468460,251658.08808048491,-9152.724858309906
1777478676478460,244622.00427589685,-9454.17911988374
1777478676488462,259828.16488043603,-9797.778442941988
1777478676498459,316400.7854520624,-10066.964222844988
1777478676508461,319977.62765633315,-10359.931648977214
1777478676518455,330788.3373974943,-10627.216395914642
1777478676528450,335188.26506227395,-10960.613029002978
1777478676538453,300193.41594567,-11254.212833422393
1777478676548461,369879.9257003623,-11403.682679306005
1777478676558408,445607.49460241443,-11390.724400753163
1777478676568447,459935.24794081267,-11434.666746495555
1777478676578447,342229.38213719823,-11477.447869248612
1777478676588440,360223.15734535235,-11615.256754723743
1777478676598459,334242.59052099776,-11781.907912987741
1777478676608455,359871.19139815966,-11866.712978615487
1777478676618456,296391.36384957604,-12106.336660958743
1777478676628440,335795.80899850617,-12188.360769479663
1777478676638438,339000.0185619246,-12320.544379487772
1777478676648461,313294.52101654105,-12311.343339432111
1777478676658454,348539.1851019661,-12121.037268480926
1777478676668459,404640.0653989337,-11958.402126408688
1777478676678455,376386.1983959353,-11788.666251305838
1777478676688461,352539.0188103731,-11659.064940249164
1777478676698459,400396.5929417052,-11530.51247303989
1777478676708449,348249.63410765457,-11396.310216567537
1777478676718459,304158.2052930709,-11152.686900455337
1777478676728457,333189.1775285016,-10871.069913175908
1777478676738462,344230.3038935199,-10532.940152189607
1777478676748462,296565.0589416336,-10275.786685003022
1777478676758462,284416.31724195136,-9956.266174043423
1777478676768456,290561.03617591487,-9539.56450109395
1777478676778462,262645.223984932,-9068.194782370612
1777478676788458,249742.89153004493,-8603.937595548252
1777478676798460,226426.51860922063,-8141.176348534749
1777478676808461,235661.75218622445,-7616.085439223787
1777478676818461,232233.27753488361,-7071.181651346744
1777478676828460,207064.7570939553,-6506.201232904939
1777478676838457,185308.7159769856,-5998.773046727286
1777478676848459,183727.66821551905,-5554.638935483237
1777478676858460,172452.9640837296,-5138.249340107029
1777478676868462,150734.15637137697,-4623.628225831399
1777478676878462,129444.94310255752,-4015.4088376554405
1777478676888461,111079.9040170275,-3401.0616797457574
1777478676898460,101958.082838559,-2976.3673116991004
1777478676908458,85899.98954640234,-2539.7168020178956
1777478676918462,82493.92670299839,-2173.0790089427646
1777478676928446,71406.46368448883,-1821.6687213108041
1777478676938460,73502.79618184161,-1627.6104274687816
1777478676948458,55609.63410916579,-1289.0066038716807
1777478676958444,50584.729328021465,-1091.8567146446617
1777478676968445,51474.457462174265,-1016.8150092774354
1777478676978444,48860.12014075794,-1034.8746156370632
1777478676988452,38680.35486213994,-907.2653384018822
1777478676998462,38471.4369371285,-1010.3729101930285
1777478677008459,46984.381279149995,-1168.191248626238
1777478677018461,53332.89784620143,-1318.2822682591154
1777478677028461,50343.083949496046,-1434.2416949754245
1777478677038459,58780.20870794874,-1627.7233505442844
1777478677048449,68847.98929121147,-1917.8614851865254
1777478677058461,78298.78193394112,-2259.3058888520945
1777478677068462,79395.62710534893,-2592.6451236940125
1777478677078461,97084.46668479519,-2943.181904087779
1777478677088458,103020.51925346277,-3220.834707516408
1777478677098461,120951.27754117915,-3522.9240169653535
1777478677108462,143086.40495156316,-3935.372110124373
1777478677118461,141236.21871834443,-4343.924622322084
1777478677128462,172994.86075536322,-4802.373848083472
